year,bimonth,mei
1979,DJFM,0.46
1979,JFMA,0.29
1979,FMAM,-0.05
1979,MAMJ,0.22
1979,AMJJ,0.27
1979,MJJA,-0.11
1979,JJAS,-0.1
1979,JASO,0.47
1979,ASON,0.38
1979,SOND,0.23
1979,ONDS,0.53
1979,NDJF,0.63
1980,DJFM,0.33
1980,JFMA,0.21
1980,FMAM,0.39
1980,MAMJ,0.5
1980,AMJJ,0.45
1980,MJJA,0.55
1980,JJAS,0.47
1980,JASO,0.03
1980,ASON,0.12
1980,SOND,0.03
1980,ONDS,-0.08
1980,NDJF,-0.12
1981,DJFM,-0.35
1981,JFMA,-0.23
1981,FMAM,0.33
1981,MAMJ,0.42
1981,AMJJ,-0.24
1981,MJJA,-0.69
1981,JJAS,-0.6
1981,JASO,-0.33
1981,ASON,-0.06
1981,SOND,-0.16
1981,ONDS,-0.27
1981,NDJF,-0.2
1982,DJFM,-0.43
1982,JFMA,-0.5
1982,FMAM,-0.28
1982,MAMJ,-0.37
1982,AMJJ,-0.11
1982,MJJA,0.63
1982,JJAS,1.65
1982,JASO,1.91
1982,ASON,1.68
1982,SOND,1.77
1982,ONDS,2.13
1982,NDJF,2.36
1983,DJFM,2.47
1983,JFMA,2.66
1983,FMAM,2.6
1983,MAMJ,2.75
1983,AMJJ,2.85
1983,MJJA,1.96
1983,JJAS,0.63
1983,JASO,-0.17
1983,ASON,-0.5
1983,SOND,-0.53
1983,ONDS,-0.47
1983,NDJF,-0.5
1984,DJFM,-0.55
1984,JFMA,-0.56
1984,FMAM,-0.17
1984,MAMJ,0.06
1984,AMJJ,-0.46
1984,MJJA,-0.69
1984,JJAS,-0.35
1984,JASO,-0.19
1984,ASON,-0.14
1984,SOND,-0.19
1984,ONDS,-0.58
1984,NDJF,-0.29
1985,DJFM,-0.26
1985,JFMA,-0.58
1985,FMAM,-0.6
1985,MAMJ,-0.77
1985,AMJJ,-1.23
1985,MJJA,-0.67
1985,JJAS,-0.1
1985,JASO,-0.49
1985,ASON,-0.56
1985,SOND,-0.08
1985,ONDS,-0.06
1985,NDJF,-0.42
1986,DJFM,-0.4
1986,JFMA,-0.34
1986,FMAM,-0.39
1986,MAMJ,-0.53
1986,AMJJ,-0.26
1986,MJJA,0.02
1986,JJAS,0.41
1986,JASO,0.97
1986,ASON,1.29
1986,SOND,0.56
1986,ONDS,0.64
1986,NDJF,1.06
1987,DJFM,1.03
1987,JFMA,1.16
1987,FMAM,1.57
1987,MAMJ,1.75
1987,AMJJ,1.97
1987,MJJA,2.07
1987,JJAS,1.88
1987,JASO,1.46
1987,ASON,1.26
1987,SOND,1.18
1987,ONDS,0.91
1987,NDJF,0.79
1988,DJFM,0.63
1988,JFMA,0.33
1988,FMAM,0.17
1988,MAMJ,-0.01
1988,AMJJ,-0.39
1988,MJJA,-1.18
1988,JJAS,-1.77
1988,JASO,-1.81
1988,ASON,-1.81
1988,SOND,-1.6
1988,ONDS,-1.71
1988,NDJF,-1.55
1989,DJFM,-1.12
1989,JFMA,-1.1
1989,FMAM,-1.24
1989,MAMJ,-1.09
1989,AMJJ,-1.03
1989,MJJA,-1.0
1989,JJAS,-1.08
1989,JASO,-0.66
1989,ASON,-0.53
1989,SOND,-0.49
1989,ONDS,-0.36
1989,NDJF,-0.07
1990,DJFM,0.13
1990,JFMA,0.45
1990,FMAM,0.61
1990,MAMJ,0.17
1990,AMJJ,0.08
1990,MJJA,0.04
1990,JJAS,0.13
1990,JASO,0.02
1990,ASON,0.23
1990,SOND,-0.06
1990,ONDS,0.12
1990,NDJF,0.31
1991,DJFM,0.19
1991,JFMA,0.09
1991,FMAM,0.21
1991,MAMJ,0.2
1991,AMJJ,0.36
1991,MJJA,0.97
1991,JJAS,0.91
1991,JASO,0.37
1991,ASON,0.53
1991,SOND,0.97
1991,ONDS,1.04
1991,NDJF,1.23
1992,DJFM,1.68
1992,JFMA,1.59
1992,FMAM,1.72
1992,MAMJ,1.98
1992,AMJJ,1.68
1992,MJJA,1.51
1992,JJAS,0.61
1992,JASO,-0.02
1992,ASON,0.4
1992,SOND,0.67
1992,ONDS,0.62
1992,NDJF,0.73
1993,DJFM,0.79
1993,JFMA,0.9
1993,FMAM,0.77
1993,MAMJ,0.99
1993,AMJJ,1.48
1993,MJJA,1.52
1993,JJAS,0.9
1993,JASO,0.6
1993,ASON,0.61
1993,SOND,0.96
1993,ONDS,0.71
1993,NDJF,0.27
1994,DJFM,-0.01
1994,JFMA,-0.21
1994,FMAM,-0.22
1994,MAMJ,0.02
1994,AMJJ,-0.02
1994,MJJA,0.26
1994,JJAS,0.96
1994,JASO,0.88
1994,ASON,1.1
1994,SOND,1.52
1994,ONDS,1.01
1994,NDJF,0.92
1995,DJFM,0.83
1995,JFMA,0.54
1995,FMAM,0.18
1995,MAMJ,0.14
1995,AMJJ,0.14
1995,MJJA,0.02
1995,JJAS,-0.28
1995,JASO,-0.71
1995,ASON,-0.94
1995,SOND,-0.74
1995,ONDS,-0.77
1995,NDJF,-0.9
1996,DJFM,-0.85
1996,JFMA,-0.8
1996,FMAM,-0.66
1996,MAMJ,-0.76
1996,AMJJ,-0.85
1996,MJJA,-0.91
1996,JJAS,-0.83
1996,JASO,-0.64
1996,ASON,-0.32
1996,SOND,-0.37
1996,ONDS,-0.34
1996,NDJF,-0.47
1997,DJFM,-0.65
1997,JFMA,-0.71
1997,FMAM,-0.3
1997,MAMJ,0.15
1997,AMJJ,0.71
1997,MJJA,2.34
1997,JJAS,2.27
1997,JASO,2.27
1997,ASON,2.2
1997,SOND,2.06
1997,ONDS,2.14
1997,NDJF,2.11
1998,DJFM,2.29
1998,JFMA,2.45
1998,FMAM,2.28
1998,MAMJ,2.61
1998,AMJJ,2.32
1998,MJJA,0.41
1998,JJAS,-1.54
1998,JASO,-1.82
1998,ASON,-1.4
1998,SOND,-1.29
1998,ONDS,-1.34
1998,NDJF,-1.29
1999,DJFM,-1.28
1999,JFMA,-1.2
1999,FMAM,-1.15
1999,MAMJ,-1.17
1999,AMJJ,-1.34
1999,MJJA,-1.26
1999,JJAS,-1.17
1999,JASO,-1.03
1999,ASON,-1.15
1999,SOND,-1.33
1999,ONDS,-1.33
1999,NDJF,-1.43
2000,DJFM,-1.25
2000,JFMA,-1.26
2000,FMAM,-1.37
2000,MAMJ,-0.9
2000,AMJJ,-0.94
2000,MJJA,-1.18
2000,JJAS,-0.61
2000,JASO,-0.08
2000,ASON,-0.36
2000,SOND,-0.52
2000,ONDS,-0.86
2000,NDJF,-0.79
2001,DJFM,-0.84
2001,JFMA,-0.86
2001,FMAM,-0.78
2001,MAMJ,-0.55
2001,AMJJ,-0.52
2001,MJJA,-0.73
2001,JJAS,0.03
2001,JASO,0.38
2001,ASON,-0.06
2001,SOND,-0.23
2001,ONDS,-0.28
2001,NDJF,0.06
2002,DJFM,0.09
2002,JFMA,-0.26
2002,FMAM,-0.2
2002,MAMJ,-0.36
2002,AMJJ,-0.14
2002,MJJA,0.34
2002,JJAS,0.43
2002,JASO,1.01
2002,ASON,0.88
2002,SOND,0.84
2002,ONDS,0.84
2002,NDJF,0.91
2003,DJFM,0.82
2003,JFMA,0.63
2003,FMAM,0.53
2003,MAMJ,-0.11
2003,AMJJ,-0.61
2003,MJJA,-0.1
2003,JJAS,0.01
2003,JASO,0.05
2003,ASON,0.18
2003,SOND,0.28
2003,ONDS,0.3
2003,NDJF,0.14
2004,DJFM,0.19
2004,JFMA,-0.04
2004,FMAM,-0.43
2004,MAMJ,-0.23
2004,AMJJ,-0.46
2004,MJJA,-0.38
2004,JJAS,0.46
2004,JASO,0.76
2004,ASON,0.58
2004,SOND,0.4
2004,ONDS,0.56
2004,NDJF,0.48
2005,DJFM,0.09
2005,JFMA,0.61
2005,FMAM,0.83
2005,MAMJ,0.14
2005,AMJJ,0.19
2005,MJJA,0.21
2005,JJAS,-0.0
2005,JASO,0.02
2005,ASON,-0.02
2005,SOND,-0.66
2005,ONDS,-0.7
2005,NDJF,-0.7
2006,DJFM,-0.64
2006,JFMA,-0.49
2006,FMAM,-0.62
2006,MAMJ,-0.84
2006,AMJJ,-0.42
2006,MJJA,-0.17
2006,JJAS,0.22
2006,JASO,0.59
2006,ASON,0.65
2006,SOND,0.77
2006,ONDS,1.0
2006,NDJF,0.64
2007,DJFM,0.64
2007,JFMA,0.4
2007,FMAM,-0.19
2007,MAMJ,-0.32
2007,AMJJ,-0.41
2007,MJJA,-0.83
2007,JJAS,-0.76
2007,JASO,-0.91
2007,ASON,-1.06
2007,SOND,-1.13
2007,ONDS,-1.12
2007,NDJF,-1.19
2008,DJFM,-1.07
2008,JFMA,-1.27
2008,FMAM,-1.52
2008,MAMJ,-1.1
2008,AMJJ,-0.99
2008,MJJA,-0.79
2008,JJAS,-0.78
2008,JASO,-1.01
2008,ASON,-1.02
2008,SOND,-1.09
2008,ONDS,-0.98
2008,NDJF,-1.01
2009,DJFM,-1.01
2009,JFMA,-0.85
2009,FMAM,-0.95
2009,MAMJ,-0.81
2009,AMJJ,-0.72
2009,MJJA,-0.05
2009,JJAS,0.56
2009,JASO,0.56
2009,ASON,0.42
2009,SOND,0.56
2009,ONDS,1.04
2009,NDJF,0.95
2010,DJFM,0.93
2010,JFMA,1.28
2010,FMAM,1.33
2010,MAMJ,0.49
2010,AMJJ,-0.12
2010,MJJA,-1.29
2010,JJAS,-2.42
2010,JASO,-2.38
2010,ASON,-2.26
2010,SOND,-2.16
2010,ONDS,-2.01
2010,NDJF,-1.85
2011,DJFM,-1.77
2011,JFMA,-1.59
2011,FMAM,-1.75
2011,MAMJ,-1.69
2011,AMJJ,-1.24
2011,MJJA,-1.03
2011,JJAS,-0.75
2011,JASO,-0.81
2011,ASON,-1.08
2011,SOND,-1.3
2011,ONDS,-1.14
2011,NDJF,-1.18
2012,DJFM,-1.07
2012,JFMA,-0.68
2012,FMAM,-0.59
2012,MAMJ,-0.38
2012,AMJJ,-0.32
2012,MJJA,-0.28
2012,JJAS,0.34
2012,JASO,-0.02
2012,ASON,-0.29
2012,SOND,-0.19
2012,ONDS,-0.03
2012,NDJF,-0.03
2013,DJFM,-0.06
2013,JFMA,-0.08
2013,FMAM,-0.13
2013,MAMJ,-0.35
2013,AMJJ,-0.68
2013,MJJA,-1.14
2013,JJAS,-0.79
2013,JASO,-0.45
2013,ASON,-0.33
2013,SOND,-0.13
2013,ONDS,-0.16
2013,NDJF,-0.33
2014,DJFM,-0.5
2014,JFMA,-0.42
2014,FMAM,-0.05
2014,MAMJ,-0.17
2014,AMJJ,-0.17
2014,MJJA,0.0
2014,JJAS,0.41
2014,JASO,0.23
2014,ASON,-0.1
2014,SOND,0.11
2014,ONDS,0.37
2014,NDJF,0.35
2015,DJFM,0.23
2015,JFMA,0.06
2015,FMAM,0.15
2015,MAMJ,0.31
2015,AMJJ,0.95
2015,MJJA,1.9
2015,JJAS,1.79
2015,JASO,1.95
2015,ASON,2.24
2015,SOND,2.15
2015,ONDS,1.93
2015,NDJF,1.93
2016,DJFM,1.93
2016,JFMA,1.8
2016,FMAM,1.32
2016,MAMJ,1.32
2016,AMJJ,1.24
2016,MJJA,0.35
2016,JJAS,-0.54
2016,JASO,-0.26
2016,ASON,-0.29
2016,SOND,-0.53
2016,ONDS,-0.47
2016,NDJF,-0.37
2017,DJFM,-0.42
2017,JFMA,-0.41
2017,FMAM,-0.58
2017,MAMJ,-0.19
2017,AMJJ,0.2
2017,MJJA,-0.23
2017,JJAS,-0.63
2017,JASO,-0.72
2017,ASON,-0.73
2017,SOND,-0.59
2017,ONDS,-0.62
2017,NDJF,-0.74
2018,DJFM,-0.79
2018,JFMA,-0.71
2018,FMAM,-0.8
2018,MAMJ,-1.32
2018,AMJJ,-0.94
2018,MJJA,-0.51
2018,JJAS,-0.05
2018,JASO,0.47
2018,ASON,0.62
2018,SOND,0.52
2018,ONDS,0.33
2018,NDJF,0.18
2019,DJFM,0.09
2019,JFMA,0.5
2019,FMAM,0.76
2019,MAMJ,0.3
2019,AMJJ,0.23
2019,MJJA,0.35
2019,JJAS,0.3
2019,JASO,0.32
2019,ASON,0.16
2019,SOND,0.31
2019,ONDS,0.47
2019,NDJF,0.36
2020,DJFM,0.24
2020,JFMA,0.26
2020,FMAM,0.13
2020,MAMJ,-0.15
2020,AMJJ,-0.23
2020,MJJA,-0.68
2020,JJAS,-0.94
2020,JASO,-0.96
2020,ASON,-1.15
2020,SOND,-1.17
2020,ONDS,-1.13
2020,NDJF,-1.14
2021,DJFM,-1.2
2021,JFMA,-0.96
2021,FMAM,-0.79
2021,MAMJ,-0.95
2021,AMJJ,-1.07
2021,MJJA,-1.05
2021,JJAS,-1.44
2021,JASO,-1.29
2021,ASON,-1.37
2021,SOND,-1.46
2021,ONDS,-1.39
2021,NDJF,-1.2
2022,DJFM,-1.01
2022,JFMA,-0.98
2022,FMAM,-1.31
2022,MAMJ,-1.6
2022,AMJJ,-1.63
2022,MJJA,-1.9
2022,JJAS,-2.17
2022,JASO,-1.75
2022,ASON,-1.73
2022,SOND,-1.72
2022,ONDS,-1.53
2022,NDJF,-1.27
2023,DJFM,-1.11
2023,JFMA,-0.91
2023,FMAM,-0.76
2023,MAMJ,-0.36
2023,AMJJ,-0.06
2023,MJJA,0.43
2023,JJAS,0.51
2023,JASO,0.51
2023,ASON,0.69
2023,SOND,0.48
2023,ONDS,0.91
2023,NDJF,1.13
2024,DJFM,0.7
2024,JFMA,0.68
2024,FMAM,0.78
2024,MAMJ,0.34
2024,AMJJ,0.12
2024,MJJA,-0.24
2024,JJAS,-0.72
2024,JASO,-0.73
2024,ASON,-0.65
2024,SOND,-0.51
2024,ONDS,-0.68
2024,NDJF,-0.91
2025,DJFM,-1.0
2025,JFMA,-0.83
2025,FMAM,-0.68
2025,MAMJ,-0.38
2025,AMJJ,-0.36
2025,MJJA,-1.17
2025,JJAS,-1.22
2025,JASO,-0.87
2025,ASON,-1.12
2025,SOND,-1.19
2025,ONDS,-1.06
2025,NDJF,-0.77
2026,DJFM,-0.76
2026,JFMA,-0.95
