year,month,nino12,date
1950,1,-1.55,1950-01-01
1950,2,-1.78,1950-02-01
1950,3,-1.38,1950-03-01
1950,4,-1.9,1950-04-01
1950,5,-1.74,1950-05-01
1950,6,-1.79,1950-06-01
1950,7,-1.65,1950-07-01
1950,8,-0.88,1950-08-01
1950,9,-1.17,1950-09-01
1950,10,-1.02,1950-10-01
1950,11,-1.8,1950-11-01
1950,12,-1.09,1950-12-01
1951,1,-0.46,1951-01-01
1951,2,-0.91,1951-02-01
1951,3,-0.75,1951-03-01
1951,4,-0.25,1951-04-01
1951,5,0.17,1951-05-01
1951,6,1.49,1951-06-01
1951,7,1.86,1951-07-01
1951,8,1.17,1951-08-01
1951,9,0.56,1951-09-01
1951,10,0.72,1951-10-01
1951,11,0.68,1951-11-01
1951,12,0.02,1951-12-01
1952,1,-0.21,1952-01-01
1952,2,-0.08,1952-02-01
1952,3,-0.41,1952-03-01
1952,4,-1.1,1952-04-01
1952,5,-0.93,1952-05-01
1952,6,-1.2,1952-06-01
1952,7,-1.23,1952-07-01
1952,8,-1.11,1952-08-01
1952,9,-1.36,1952-09-01
1952,10,-0.65,1952-10-01
1952,11,-0.82,1952-11-01
1952,12,-0.5,1952-12-01
1953,1,-0.44,1953-01-01
1953,2,0.17,1953-02-01
1953,3,0.74,1953-03-01
1953,4,1.47,1953-04-01
1953,5,1.01,1953-05-01
1953,6,0.31,1953-06-01
1953,7,-0.0,1953-07-01
1953,8,0.17,1953-08-01
1953,9,0.33,1953-09-01
1953,10,-0.18,1953-10-01
1953,11,-0.14,1953-11-01
1953,12,-0.59,1953-12-01
1954,1,-1.91,1954-01-01
1954,2,-1.22,1954-02-01
1954,3,-1.32,1954-03-01
1954,4,-3.09,1954-04-01
1954,5,-2.99,1954-05-01
1954,6,-2.46,1954-06-01
1954,7,-2.83,1954-07-01
1954,8,-1.69,1954-08-01
1954,9,-1.71,1954-09-01
1954,10,-2.04,1954-10-01
1954,11,-1.45,1954-11-01
1954,12,-1.47,1954-12-01
1955,1,-0.84,1955-01-01
1955,2,-1.13,1955-02-01
1955,3,-1.37,1955-03-01
1955,4,-1.24,1955-04-01
1955,5,-2.16,1955-05-01
1955,6,-1.92,1955-06-01
1955,7,-1.44,1955-07-01
1955,8,-1.55,1955-08-01
1955,9,-1.47,1955-09-01
1955,10,-1.82,1955-10-01
1955,11,-1.83,1955-11-01
1955,12,-1.69,1955-12-01
1956,1,-1.31,1956-01-01
1956,2,-1.2,1956-02-01
1956,3,-0.75,1956-03-01
1956,4,-1.15,1956-04-01
1956,5,-1.21,1956-05-01
1956,6,-0.94,1956-06-01
1956,7,-0.14,1956-07-01
1956,8,-0.43,1956-08-01
1956,9,-1.01,1956-09-01
1956,10,-1.19,1956-10-01
1956,11,-1.06,1956-11-01
1956,12,-1.32,1956-12-01
1957,1,-1.66,1957-01-01
1957,2,0.07,1957-02-01
1957,3,0.78,1957-03-01
1957,4,1.13,1957-04-01
1957,5,2.4,1957-05-01
1957,6,2.01,1957-06-01
1957,7,1.86,1957-07-01
1957,8,1.2,1957-08-01
1957,9,0.91,1957-09-01
1957,10,0.63,1957-10-01
1957,11,0.56,1957-11-01
1957,12,0.66,1957-12-01
1958,1,0.14,1958-01-01
1958,2,0.26,1958-02-01
1958,3,0.48,1958-03-01
1958,4,0.71,1958-04-01
1958,5,0.12,1958-05-01
1958,6,-0.02,1958-06-01
1958,7,0.06,1958-07-01
1958,8,-0.42,1958-08-01
1958,9,-0.41,1958-09-01
1958,10,-0.19,1958-10-01
1958,11,-0.38,1958-11-01
1958,12,-0.5,1958-12-01
1959,1,-0.88,1959-01-01
1959,2,-0.47,1959-02-01
1959,3,0.34,1959-03-01
1959,4,0.12,1959-04-01
1959,5,-0.39,1959-05-01
1959,6,-0.63,1959-06-01
1959,7,-0.57,1959-07-01
1959,8,-1.01,1959-08-01
1959,9,-0.61,1959-09-01
1959,10,-0.29,1959-10-01
1959,11,0.1,1959-11-01
1959,12,-0.23,1959-12-01
1960,1,-0.33,1960-01-01
1960,2,-0.42,1960-02-01
1960,3,-0.25,1960-03-01
1960,4,-1.11,1960-04-01
1960,5,-1.09,1960-05-01
1960,6,-1.41,1960-06-01
1960,7,-1.32,1960-07-01
1960,8,-1.02,1960-08-01
1960,9,-0.27,1960-09-01
1960,10,-0.91,1960-10-01
1960,11,-0.6,1960-11-01
1960,12,-0.29,1960-12-01
1961,1,-0.08,1961-01-01
1961,2,0.45,1961-02-01
1961,3,-0.73,1961-03-01
1961,4,-0.78,1961-04-01
1961,5,-0.92,1961-05-01
1961,6,-0.98,1961-06-01
1961,7,-1.53,1961-07-01
1961,8,-1.14,1961-08-01
1961,9,-1.14,1961-09-01
1961,10,-1.05,1961-10-01
1961,11,-0.67,1961-11-01
1961,12,-0.88,1961-12-01
1962,1,-0.74,1962-01-01
1962,2,-0.73,1962-02-01
1962,3,-2.13,1962-03-01
1962,4,-2.38,1962-04-01
1962,5,-1.51,1962-05-01
1962,6,-1.35,1962-06-01
1962,7,-1.32,1962-07-01
1962,8,-0.77,1962-08-01
1962,9,-0.74,1962-09-01
1962,10,-1.17,1962-10-01
1962,11,-0.87,1962-11-01
1962,12,-1.09,1962-12-01
1963,1,-0.85,1963-01-01
1963,2,-0.82,1963-02-01
1963,3,-0.76,1963-03-01
1963,4,-1.21,1963-04-01
1963,5,-0.57,1963-05-01
1963,6,-0.87,1963-06-01
1963,7,-0.34,1963-07-01
1963,8,0.15,1963-08-01
1963,9,0.05,1963-09-01
1963,10,-0.05,1963-10-01
1963,11,-0.22,1963-11-01
1963,12,-0.29,1963-12-01
1964,1,-0.65,1964-01-01
1964,2,-1.29,1964-02-01
1964,3,-1.4,1964-03-01
1964,4,-1.35,1964-04-01
1964,5,-2.67,1964-05-01
1964,6,-1.88,1964-06-01
1964,7,-1.77,1964-07-01
1964,8,-1.67,1964-08-01
1964,9,-1.23,1964-09-01
1964,10,-1.44,1964-10-01
1964,11,-0.97,1964-11-01
1964,12,-1.33,1964-12-01
1965,1,-0.69,1965-01-01
1965,2,-0.32,1965-02-01
1965,3,-0.01,1965-03-01
1965,4,1.34,1965-04-01
1965,5,1.53,1965-05-01
1965,6,1.23,1965-06-01
1965,7,1.04,1965-07-01
1965,8,1.38,1965-08-01
1965,9,0.38,1965-09-01
1965,10,0.32,1965-10-01
1965,11,0.43,1965-11-01
1965,12,0.35,1965-12-01
1966,1,0.37,1966-01-01
1966,2,-0.62,1966-02-01
1966,3,-1.47,1966-03-01
1966,4,-1.57,1966-04-01
1966,5,-1.72,1966-05-01
1966,6,-1.56,1966-06-01
1966,7,-1.29,1966-07-01
1966,8,-1.18,1966-08-01
1966,9,-0.89,1966-09-01
1966,10,-0.58,1966-10-01
1966,11,-0.91,1966-11-01
1966,12,-0.62,1966-12-01
1967,1,-1.04,1967-01-01
1967,2,-0.58,1967-02-01
1967,3,-1.04,1967-03-01
1967,4,-0.72,1967-04-01
1967,5,-0.82,1967-05-01
1967,6,-1.06,1967-06-01
1967,7,-1.1,1967-07-01
1967,8,-1.5,1967-08-01
1967,9,-1.81,1967-09-01
1967,10,-1.73,1967-10-01
1967,11,-1.77,1967-11-01
1967,12,-1.84,1967-12-01
1968,1,-1.62,1968-01-01
1968,2,-1.41,1968-02-01
1968,3,-1.58,1968-03-01
1968,4,-1.77,1968-04-01
1968,5,-2.03,1968-05-01
1968,6,-1.61,1968-06-01
1968,7,-0.81,1968-07-01
1968,8,-0.26,1968-08-01
1968,9,0.33,1968-09-01
1968,10,-0.14,1968-10-01
1968,11,-0.09,1968-11-01
1968,12,0.16,1968-12-01
1969,1,-0.2,1969-01-01
1969,2,-0.75,1969-02-01
1969,3,0.34,1969-03-01
1969,4,0.88,1969-04-01
1969,5,1.31,1969-05-01
1969,6,0.97,1969-06-01
1969,7,0.28,1969-07-01
1969,8,-0.13,1969-08-01
1969,9,0.02,1969-09-01
1969,10,0.6,1969-10-01
1969,11,0.57,1969-11-01
1969,12,0.59,1969-12-01
1970,1,0.39,1970-01-01
1970,2,-0.38,1970-02-01
1970,3,-1.25,1970-03-01
1970,4,-0.98,1970-04-01
1970,5,-1.79,1970-05-01
1970,6,-2.0,1970-06-01
1970,7,-2.51,1970-07-01
1970,8,-1.85,1970-08-01
1970,9,-1.43,1970-09-01
1970,10,-1.14,1970-10-01
1970,11,-1.17,1970-11-01
1970,12,-1.15,1970-12-01
1971,1,-1.44,1971-01-01
1971,2,-1.68,1971-02-01
1971,3,-1.45,1971-03-01
1971,4,-0.66,1971-04-01
1971,5,-1.24,1971-05-01
1971,6,-1.54,1971-06-01
1971,7,-1.03,1971-07-01
1971,8,-1.23,1971-08-01
1971,9,-1.22,1971-09-01
1971,10,-1.29,1971-10-01
1971,11,-0.76,1971-11-01
1971,12,-0.99,1971-12-01
1972,1,-0.38,1972-01-01
1972,2,0.45,1972-02-01
1972,3,0.58,1972-03-01
1972,4,0.64,1972-04-01
1972,5,0.71,1972-05-01
1972,6,1.78,1972-06-01
1972,7,2.03,1972-07-01
1972,8,2.37,1972-08-01
1972,9,1.23,1972-09-01
1972,10,1.39,1972-10-01
1972,11,1.38,1972-11-01
1972,12,2.01,1972-12-01
1973,1,1.26,1973-01-01
1973,2,0.16,1973-02-01
1973,3,-0.58,1973-03-01
1973,4,-1.11,1973-04-01
1973,5,-1.37,1973-05-01
1973,6,-1.61,1973-06-01
1973,7,-1.23,1973-07-01
1973,8,-1.62,1973-08-01
1973,9,-1.31,1973-09-01
1973,10,-1.08,1973-10-01
1973,11,-1.12,1973-11-01
1973,12,-1.14,1973-12-01
1974,1,-1.35,1974-01-01
1974,2,-1.38,1974-02-01
1974,3,-0.84,1974-03-01
1974,4,-0.39,1974-04-01
1974,5,-0.2,1974-05-01
1974,6,-0.78,1974-06-01
1974,7,-0.58,1974-07-01
1974,8,-0.46,1974-08-01
1974,9,-0.63,1974-09-01
1974,10,-1.2,1974-10-01
1974,11,-1.0,1974-11-01
1974,12,-1.46,1974-12-01
1975,1,-1.15,1975-01-01
1975,2,-1.18,1975-02-01
1975,3,-0.33,1975-03-01
1975,4,-0.0,1975-04-01
1975,5,-0.96,1975-05-01
1975,6,-1.43,1975-06-01
1975,7,-0.93,1975-07-01
1975,8,-0.95,1975-08-01
1975,9,-1.57,1975-09-01
1975,10,-1.97,1975-10-01
1975,11,-2.25,1975-11-01
1975,12,-1.88,1975-12-01
1976,1,-1.12,1976-01-01
1976,2,-0.64,1976-02-01
1976,3,-0.53,1976-03-01
1976,4,0.17,1976-04-01
1976,5,0.7,1976-05-01
1976,6,1.37,1976-06-01
1976,7,1.61,1976-07-01
1976,8,1.25,1976-08-01
1976,9,0.83,1976-09-01
1976,10,0.51,1976-10-01
1976,11,0.49,1976-11-01
1976,12,0.39,1976-12-01
1977,1,0.23,1977-01-01
1977,2,-0.38,1977-02-01
1977,3,-0.46,1977-03-01
1977,4,-0.59,1977-04-01
1977,5,-0.92,1977-05-01
1977,6,-0.61,1977-06-01
1977,7,-0.5,1977-07-01
1977,8,-0.9,1977-08-01
1977,9,-1.11,1977-09-01
1977,10,-0.47,1977-10-01
1977,11,-0.47,1977-11-01
1977,12,-0.55,1977-12-01
1978,1,-0.41,1978-01-01
1978,2,-0.4,1978-02-01
1978,3,-1.21,1978-03-01
1978,4,-0.77,1978-04-01
1978,5,-1.25,1978-05-01
1978,6,-1.18,1978-06-01
1978,7,-0.94,1978-07-01
1978,8,-1.37,1978-08-01
1978,9,-0.88,1978-09-01
1978,10,-0.96,1978-10-01
1978,11,-0.04,1978-11-01
1978,12,0.09,1978-12-01
1979,1,0.16,1979-01-01
1979,2,-0.58,1979-02-01
1979,3,-0.58,1979-03-01
1979,4,0.15,1979-04-01
1979,5,-0.13,1979-05-01
1979,6,0.16,1979-06-01
1979,7,-0.26,1979-07-01
1979,8,-0.07,1979-08-01
1979,9,0.43,1979-09-01
1979,10,0.45,1979-10-01
1979,11,0.14,1979-11-01
1979,12,-0.08,1979-12-01
1980,1,-0.25,1980-01-01
1980,2,-0.42,1980-02-01
1980,3,-0.01,1980-03-01
1980,4,0.0,1980-04-01
1980,5,-0.43,1980-05-01
1980,6,-0.36,1980-06-01
1980,7,-0.84,1980-07-01
1980,8,-0.48,1980-08-01
1980,9,-0.3,1980-09-01
1980,10,-0.5,1980-10-01
1980,11,-0.41,1980-11-01
1980,12,-0.4,1980-12-01
1981,1,-1.5,1981-01-01
1981,2,-1.17,1981-02-01
1981,3,-0.55,1981-03-01
1981,4,-0.73,1981-04-01
1981,5,-0.77,1981-05-01
1981,6,-0.63,1981-06-01
1981,7,-0.89,1981-07-01
1981,8,-1.13,1981-08-01
1981,9,-0.79,1981-09-01
1981,10,-0.57,1981-10-01
1981,11,-0.46,1981-11-01
1981,12,-0.18,1981-12-01
1982,1,-0.26,1982-01-01
1982,2,-0.79,1982-02-01
1982,3,-1.29,1982-03-01
1982,4,-0.81,1982-04-01
1982,5,-0.31,1982-05-01
1982,6,0.13,1982-06-01
1982,7,0.47,1982-07-01
1982,8,0.8,1982-08-01
1982,9,1.31,1982-09-01
1982,10,1.81,1982-10-01
1982,11,3.03,1982-11-01
1982,12,3.16,1982-12-01
1983,1,2.65,1983-01-01
1983,2,2.03,1983-02-01
1983,3,2.23,1983-03-01
1983,4,3.32,1983-04-01
1983,5,3.85,1983-05-01
1983,6,4.24,1983-06-01
1983,7,3.8,1983-07-01
1983,8,2.93,1983-08-01
1983,9,1.37,1983-09-01
1983,10,0.99,1983-10-01
1983,11,0.4,1983-11-01
1983,12,0.21,1983-12-01
1984,1,-0.39,1984-01-01
1984,2,-0.88,1984-02-01
1984,3,-0.87,1984-03-01
1984,4,-0.23,1984-04-01
1984,5,-1.11,1984-05-01
1984,6,-0.95,1984-06-01
1984,7,-0.63,1984-07-01
1984,8,-0.56,1984-08-01
1984,9,-0.07,1984-09-01
1984,10,-0.51,1984-10-01
1984,11,-0.13,1984-11-01
1984,12,-0.4,1984-12-01
1985,1,-0.78,1985-01-01
1985,2,-1.38,1985-02-01
1985,3,-0.89,1985-03-01
1985,4,-1.37,1985-04-01
1985,5,-1.88,1985-05-01
1985,6,-1.27,1985-06-01
1985,7,-1.4,1985-07-01
1985,8,-1.23,1985-08-01
1985,9,-0.99,1985-09-01
1985,10,-0.92,1985-10-01
1985,11,-0.79,1985-11-01
1985,12,-0.38,1985-12-01
1986,1,-0.0,1986-01-01
1986,2,-0.1,1986-02-01
1986,3,-0.73,1986-03-01
1986,4,-0.85,1986-04-01
1986,5,-1.18,1986-05-01
1986,6,-1.08,1986-06-01
1986,7,-0.49,1986-07-01
1986,8,-0.1,1986-08-01
1986,9,0.18,1986-09-01
1986,10,0.25,1986-10-01
1986,11,0.36,1986-11-01
1986,12,0.6,1986-12-01
1987,1,0.99,1987-01-01
1987,2,0.97,1987-02-01
1987,3,1.44,1987-03-01
1987,4,1.56,1987-04-01
1987,5,1.52,1987-05-01
1987,6,0.98,1987-06-01
1987,7,1.03,1987-07-01
1987,8,0.82,1987-08-01
1987,9,1.1,1987-09-01
1987,10,1.45,1987-10-01
1987,11,1.14,1987-11-01
